ID,Jurisdiction,State,District_Type,District_Number,Candidate_Name,Party,Total_Amount,Total_For,Total_Against,PAC_Name,PAC_Type,PAC_ID,ID_Type,Citation_URL
EDF ACTION VOTES_642774,Federal Office,NC,U.S. House,9,Dan McCready,D,642774.00,642774.00,0.00,EDF ACTION VOTES,Super PAC,C00707857,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707857
EDF ACTION VOTES_0,Federal Office,AZ,U.S. Senate,,Martha McSally,R,950395.00,0.00,950395.00,EDF ACTION VOTES,Super PAC,C00707858,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707858
EDF ACTION VOTES_0,Federal Office,IL,U.S. House,14,Jim Oberweis,R,132030.00,0.00,132030.00,EDF ACTION VOTES,Super PAC,C00707859,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707859
EDF ACTION VOTES_0,Federal Office,PA,U.S. House,10,Scott Perry,R,381414.00,0.00,381414.00,EDF ACTION VOTES,Super PAC,C00707860,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707860
EDF ACTION VOTES_260314,Federal Office,MI,U.S. Senate,,Gary Peters,D,260314.00,260314.00,0.00,EDF ACTION VOTES,Super PAC,C00707861,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707861
EDF ACTION VOTES_0,Federal Office,CA,U.S. House,48,Michelle Steel,R,306268.00,0.00,306268.00,EDF ACTION VOTES,Super PAC,C00707862,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707862
EDF ACTION VOTES_0,Federal Office,All,President,,Donald Trump,R,2598564.00,0.00,2598564.00,EDF ACTION VOTES,Super PAC,C00707863,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707863
EDF ACTION VOTES_0,Federal Office,IA,U.S. House,3,David Young,R,301084.00,0.00,301084.00,EDF ACTION VOTES,Super PAC,C00707864,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00707864
NRDC ACTION VOTES_0,Federal Office,PA,U.S. House,8,Jim Bognet,R,107858.00,0.00,107858.00,NRDC ACTION VOTES,Super PAC,C00740225,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00740225
NRDC ACTION VOTES_36580,Federal Office,SC,U.S. House,1,Joe Cunningham,D,36580.00,36580.00,0.00,NRDC ACTION VOTES,Super PAC,C00740226,FEC,https://www.opensecrets.org/pacs/lookup2.php?cycle=2020&strID=C00740226
